absentee_count_progress,absentee_max_ballots,absentee_method,absentee_outstanding,absentee_votes,eevp,eevp_display,eevp_source,eevp_value,fips,last_updated,leader_margin_display,leader_margin_name_display,leader_margin_value,leader_party_id,name,precincts,provisional_count_progress,provisional_outstanding,reporting,tot_exp_vote,turnout_stage,votes,bidenj__total_count,democrat__total_count,blankenshipd__total_count,constitution__total_count,hawkinsh__total_count,green__total_count,jorgensenj__total_count,libertarian__total_count,trumpd__total_count,republican__total_count,write-ins__total_count,bidenj__absentee_count,blankenshipd__absentee_count,hawkinsh__absentee_count,jorgensenj__absentee_count,trumpd__absentee_count,write-ins__absentee_count
unknown,688,Released as a precinct as first report of the night,,0,100,>98% reported,edison,>98%,29151,2020-11-04T10:43:36Z,R+71,Trump +71,71.28474,republican,Osage,12,,,11,7428,2,7449,1031,1031,6,6,4,4,67,67,6341,6341,0,0,0,0,0,0,0
unknown,795,Released as a precinct as first report of the night,,0,100,>98% reported,edison,>98%,29153,2020-11-04T10:43:36Z,R+68,Trump +68,68.00821,republican,Ozark,11,,,11,4720,2,4870,752,752,9,9,7,7,32,32,4064,4064,12,0,0,0,0,0,0
unknown,834,Released as a precinct as first report of the night,,0,86,86% reported,edison,86%,29155,2020-11-04T10:43:36Z,R+45,Trump +45,44.70054,republican,Pemiscot,27,,,23,6637,2,5727,1556,1556,4,4,6,6,45,45,4116,4116,0,0,0,0,0,0,0
all,1120,Released as a separate subtotal as first report of the night,,1649,100,>98% reported,edison,>98%,29157,2020-11-04T10:43:37Z,R+63,Trump +63,63.34712,republican,Perry,19,,,19,9156,4,9429,1661,2156,6,6,18,23,101,121,7634,8761,20,495,0,5,20,1127,2
unknown,3571,None,,0,100,>98% reported,edison,>98%,29159,2020-11-04T10:43:37Z,R+48,Trump +48,47.50642,republican,Pettis,31,,,30,18974,2,19069,4776,4776,21,21,57,57,380,380,13835,13835,0,0,0,0,0,0,0
unknown,3112,None,,0,97,97% reported,edison,97%,29161,2020-11-04T10:43:38Z,R+40,Trump +40,40.03379,republican,Phelps,20,,,19,20023,2,19531,5619,5619,19,19,54,54,365,365,13438,13438,72,0,0,0,0,0,0
unknown,1005,Released as a precinct as first report of the night,,0,99,>98% reported,edison,>98%,29163,2020-11-04T10:43:38Z,R+54,Trump +54,53.85116,republican,Pike,14,,,13,7734,2,7686,1717,1717,2,2,19,19,92,92,5856,5856,0,0,0,0,0,0,0
all,7942,Released as a precinct as first report of the night,,0,100,>98% reported,edison,>98%,29165,2020-11-04T10:43:39Z,R+1.9,Trump +1.9,1.94795,republican,Platte,28,,,28,58523,6,58523,28111,28111,86,86,168,168,907,907,29251,29251,0,0,0,0,0,0,0
unknown,2693,Released separately AFTER election night,,0,100,>98% reported,edison,>98%,29167,2020-11-04T10:43:40Z,R+60,Trump +60,59.53915,republican,Polk,23,,,23,14854,2,15059,2883,2883,29,29,20,20,278,278,11849,11849,0,0,0,0,0,0,0
none,3624,Released as a precinct as first report of the night,,0,98,98% reported,edison,98%,29169,2020-11-04T10:43:41Z,R+46,Trump +46,45.71052,republican,Pulaski,9,,,9,14647,2,14419,3735,3735,23,23,36,36,285,285,10326,10326,28,0,0,0,0,0,0
unknown,506,None,,0,96,96% reported,edison,96%,29171,2020-11-04T10:43:42Z,R+69,Trump +69,68.74206,republican,Putnam,9,,,8,2458,2,2361,361,361,3,3,0,0,13,13,1984,1984,0,0,0,0,0,0,0
unknown,838,Released separately AFTER election night,,0,100,>98% reported,edison,>98%,29173,2020-11-04T10:43:42Z,R+56,Trump +56,56.35818,republican,Ralls,8,,,8,5517,2,5662,1205,1205,3,3,7,7,51,51,4396,4396,0,0,0,0,0,0,0
