absentee_count_progress,absentee_max_ballots,absentee_method,absentee_outstanding,absentee_votes,eevp,eevp_display,eevp_source,eevp_value,fips,last_updated,leader_margin_display,leader_margin_name_display,leader_margin_value,leader_party_id,name,precincts,provisional_count_progress,provisional_outstanding,reporting,tot_exp_vote,turnout_stage,votes,edwardsj__total_count,libertarian__total_count,espym__total_count,democrat__total_count,hyde_smithc__total_count,republican__total_count,write-ins__total_count,edwardsj__absentee_count,espym__absentee_count,hyde_smithc__absentee_count,write-ins__absentee_count
unknown,230.0,Merged into voters' home precincts and released with cumulative results,,0,100,>98% reported,edison,>98%,28143,2020-11-04T15:15:41Z,D+53,Espy +53,52.92773,democrat,Tunica,12,,,12,3374,2.0,3501,42,42,2656,2656,803,803,0,0,0,0,0
none,700.0,Merged into voters' home precincts and released with cumulative results,,0,96,96% reported,edison,96%,28145,2020-11-04T10:43:24Z,R+56,Hyde-Smith +56,55.75569,republican,Union,20,,,20,11374,2.0,10937,385,385,2223,2223,8321,8321,16,0,0,0,0
unknown,466.0,None,,0,0,0% reported,edison,0%,28147,2020-11-04T10:43:24Z,–,–,,,Walthall,20,,,0,6834,,0,0,0,0,0,0,0,0,0,0,0,0
unknown,1150.0,None,,0,100,>98% reported,edison,>98%,28149,2020-11-06T18:37:42Z,D+6,Espy +6,6.16237,democrat,Warren,23,,,23,19359,2.0,21112,244,244,11084,11084,9783,9783,2,0,0,0,0
unknown,914.0,None,,0,69,69% reported,edison,69%,28151,2020-11-04T22:46:37Z,D+27,Espy +27,26.5207,democrat,Washington,19,,,19,15182,4.0,10505,90,90,6596,6596,3810,3810,18,0,0,0,0
all,850.0,Merged into voters' home precincts and released with cumulative results,,0,100,>98% reported,edison,>98%,28153,2020-11-04T10:43:25Z,R+20,Hyde-Smith +20,20.17185,republican,Wayne,22,,,22,10009,6.0,10009,143,143,3921,3921,5940,5940,10,0,0,0,0
all,262.0,Merged into voters' home precincts and released with cumulative results,,0,100,>98% reported,edison,>98%,28155,2020-11-04T10:43:26Z,R+54,Hyde-Smith +54,53.69745,republican,Webster,17,,,17,5347,6.0,5328,107,107,1177,1177,4038,4038,12,0,0,0,0
none,326.0,None,,0,95,95% reported,edison,95%,28157,2020-11-04T10:43:26Z,D+32,Espy +32,32.42022,democrat,Wilkinson,9,,,9,3737,2.0,3541,74,74,2307,2307,1159,1159,2,0,0,0,0
some,794.0,Merged into voters' home precincts and released with cumulative results,,0,100,>98% reported,edison,>98%,28159,2020-11-06T18:26:59Z,R+6,Hyde-Smith +6,6.00826,republican,Winston,12,,,12,8896,2.0,9204,114,114,4267,4267,4820,4820,6,0,0,0,0
some,552.0,None,,0,100,>98% reported,edison,>98%,28161,2020-11-04T22:49:41Z,R+6,Hyde-Smith +6,6.46505,republican,Yalobusha,12,,,12,5750,4.0,6481,88,88,2985,2985,3404,3404,8,0,0,0,0
none,470.0,Merged into voters' home precincts and released with cumulative results,,0,100,>98% reported,edison,>98%,28163,2020-11-04T10:43:27Z,D+8,Espy +8,7.7658,democrat,Yazoo,23,,,23,8948,2.0,9001,74,74,4811,4811,4112,4112,8,0,0,0,0
